,player_id,first_name,second_name,position,curr_price,ownership_percent,fixture_difficulty,next_gw_fixture_cnt,predicted_points
624,488.0,Bruno,Guimarães Rodriguez Moura,3,6.8,4.3,3,1.0,2.4831895556713346
619,318.0,Calvin,Bassey,2,4.4,0.6,4,1.0,2.4581504761805713
29,671.0,Callum,Wilson,4,5.8,0.5,1,1.0,2.455437281976837
125,366.0,Alisson,Becker,1,5.4,5.5,3,1.0,2.454514916315732
175,271.0,Daichi,Kamada,3,5.0,0.1,3,1.0,2.452085551845347
564,371.0,Milos,Kerkez,2,5.6,3.0,3,1.0,2.45110403406459
741,330.0,Sander,Berge,3,4.9,0.1,4,1.0,2.4460112035614334
254,661.0,Hugo,Ekitiké,4,9.2,22.3,3,1.0,2.44486803308318
800,494.0,Joe,Willock,3,5.0,0.1,3,1.0,2.4435685362675827
520,519.0,Nicolás,Domínguez,3,5.0,0.0,3,1.0,2.431600478637585
581,642.0,Hwang,Hee-chan,3,5.6,0.1,2,1.0,2.4287218182225643
134,490.0,Joelinton Cássio,Apolinário de Lira,3,5.9,0.3,3,1.0,2.425162884062674
504,316.0,Antonee,Robinson,2,4.9,0.8,4,1.0,2.4228539669845697
576,580.0,Brennan,Johnson,3,6.5,2.3,3,1.0,2.4176673805362583
799,478.0,Kieran,Trippier,2,4.9,1.4,3,1.0,2.41743988080398
148,693.0,Omari,Hutchinson,3,5.4,0.1,3,1.0,2.412134891999293
808,615.0,Crysencio,Summerville,3,5.5,1.3,1,1.0,2.3786046569942525
198,785.0,Pablo Felipe,Pereira de Jesus,4,5.4,0.0,1,1.0,2.359757843345287
575,551.0,Chris,Rigg,3,4.7,0.0,2,1.0,2.347415601811208
484,54.0,John,McGinn,3,5.3,0.6,3,1.0,2.3444731168611486
399,487.0,Harvey,Barnes,3,6.1,1.1,3,1.0,2.3429978221988366
227,319.0,Timothy,Castagne,2,4.3,0.1,4,1.0,2.3365148036591474
402,553.0,Chemsdine,Talbi,3,4.9,0.2,2,1.0,2.3165947937984828
457,609.0,Jean-Clair,Todibo,2,4.3,0.1,1,1.0,2.301492003759214
455,539.0,Luke,O'Nien,2,4.0,0.1,2,1.0,2.2952697953190837
813,686.0,Rio,Ngumoha,3,4.3,1.0,3,1.0,2.2928828497036706
14,385.0,Federico,Chiesa,3,6.3,0.3,3,1.0,2.28188807648448
347,525.0,Chris,Wood,4,7.1,4.5,3,1.0,2.280753673245693
393,322.0,Kenny,Tete,2,4.5,0.3,4,1.0,2.278884965635645
750,475.0,Sven,Botman,2,4.9,0.4,3,1.0,2.2701314310886334
729,11.0,Benjamin,White,2,5.1,0.5,3,1.0,2.2650469691128445
593,22.0,Mikel,Merino Zazón,3,5.4,0.8,3,1.0,2.259107244795117
375,18.0,Noni,Madueke,3,6.8,0.8,3,1.0,2.259008715156744
704,396.0,Trey,Nyoni,3,4.3,0.3,3,1.0,2.254267876171998
342,466.0,Joshua,Zirkzee,4,5.8,0.4,2,1.0,2.2477898814951134
512,388.0,Curtis,Jones,3,5.4,0.1,3,1.0,2.241739620333976
303,638.0,Ki-Jana,Hoever,2,3.8,0.9,2,1.0,2.2365464359213267
