,player_id,first_name,second_name,position,curr_price,ownership_percent,chance_of_playing_next_round,fixture_difficulty,predicted_points
95,470.0,Martin,Dúbravka,1,4.0,27.2,100.0,3,2.4877497360132264
285,52.0,Jacob,Ramsey,3,5.3,0.2,100.0,3,2.483626970819153
473,681.0,Benjamin,Sesko,4,7.3,6.0,100.0,3,2.4580872898154498
251,55.0,Ross,Barkley,3,4.8,0.1,100.0,3,2.4331148738119848
222,193.0,Bashir,Humphreys,2,3.9,0.1,100.0,3,2.425082738174621
211,220.0,Robert,Lynch Sánchez,1,4.8,11.6,100.0,3,2.419867928812026
217,85.0,Tyler,Adams,3,4.9,0.3,100.0,3,2.395621509844903
290,273.0,Adam,Wharton,3,5.0,0.6,100.0,4,2.3938996479962817
346,642.0,Hwang,Hee-chan,3,5.6,0.1,100.0,2,2.389602231317006
566,266.0,Eberechi,Eze,3,7.2,8.5,100.0,3,2.362871555671576
576,575.0,Micky,van de Ven,2,4.4,17.8,100.0,4,2.339863539209436
314,574.0,Destiny,Udogie,2,4.3,0.3,100.0,4,2.333833413864093
768,553.0,Chemsdine,Talbi,3,4.9,0.2,100.0,2,2.328338946592325
681,38.0,Ezri,Konsa Ngoyo,2,4.4,7.7,100.0,3,2.3283241653622824
730,476.0,Dan,Burn,2,5.0,3.4,100.0,3,2.315461597230743
336,452.0,Amad,Diallo,3,6.2,1.3,100.0,3,2.3148442702998677
609,584.0,Mathys,Tel,3,6.2,0.1,100.0,4,2.3064687316757433
420,570.0,Kevin,Danso,2,4.2,0.2,100.0,4,2.2952583961789936
601,458.0,Kobbie,Mainoo,3,4.7,1.0,100.0,3,2.2878502121537827
776,644.0,Jean-Ricner,Bellegarde,3,5.1,0.0,100.0,2,2.2818020067848495
401,19.0,Gabriel,Martinelli Silva,3,6.8,0.9,100.0,3,2.278756059996759
407,111.0,Ethan,Pinnock,2,4.2,0.1,100.0,2,2.264788364469859
728,390.0,Ryan,Gravenberch,3,5.4,3.9,100.0,4,2.251750020014612
183,348.0,Joe,Rodon,2,3.9,2.9,100.0,1,2.25170358377977
49,209.0,Josh,Laurent,3,4.8,0.0,100.0,3,2.2480568485175714
149,206.0,Marcus,Edwards,3,4.7,0.1,100.0,3,2.240390005027756
752,18.0,Noni,Madueke,3,6.8,0.8,100.0,3,2.2335979482896597
362,121.0,Mikkel,Damsgaard,3,5.6,0.8,100.0,2,2.2287502800667762
726,318.0,Calvin,Bassey,2,4.4,0.6,100.0,5,2.225856695290649
306,527.0,Taiwo,Awoniyi,4,5.2,0.3,100.0,3,2.2123520238545744
197,226.0,Trevoh,Chalobah,2,5.4,9.4,100.0,3,2.205689465666036
374,332.0,Saša,Lukić,3,4.9,0.1,100.0,5,2.203227667380434
816,816.0,Angel,Gomes,3,4.6,0.0,100.0,2,2.190652392891695
447,243.0,Tyrique,George,3,4.8,0.1,100.0,4,2.1808572071990397
812,700.0,Max,Dowman,3,4.2,0.8,100.0,3,2.1704888062771808
555,712.0,Yéremy,Pino Santos,3,5.8,0.2,100.0,4,2.167221286850482
195,187.0,Kyle,Walker,2,4.4,1.1,100.0,3,2.163011910309023
805,615.0,Crysencio,Summerville,3,5.5,1.4,100.0,3,2.1504267913767308
691,317.0,Joachim,Andersen,2,4.5,4.3,100.0,5,2.1301659480886537
641,637.0,Toti,Gomes,2,4.2,0.1,100.0,2,2.1057558474973788
294,316.0,Antonee,Robinson,2,4.9,0.8,100.0,5,2.101991403300736
606,491.0,Sandro,Tonali,3,5.3,1.1,100.0,3,2.1016249679159498
328,337.0,Raúl,Jiménez Rodríguez,4,6.0,2.0,100.0,5,2.0943252946120015
708,694.0,Nordi,Mukiele,2,4.6,8.7,100.0,2,2.088625453867139
