,player_id,first_name,second_name,position,curr_price,ownership_percent,fixture_difficulty,next_gw_fixture_cnt,predicted_points
105,641.0,Alfie,Pond,2,3.9,0.9,3,1.0,1.6595428095425024
107,656.0,Saša,Kalajdžić,4,4.9,0.0,3,1.0,1.6595428095425024
173,767.0,Luke,Rawlings,3,4.5,0.0,3,1.0,1.6595428095425024
171,655.0,Fábio,Soares Silva,4,4.9,0.2,3,1.0,1.6595428095425024
312,651.0,Tom,Edozie,3,4.3,0.4,3,1.0,1.6595428095425024
170,650.0,Tawanda,Chirewa,3,4.3,0.2,3,1.0,1.6595428095425024
134,629.0,Daniel,Bentley,1,3.9,0.5,3,1.0,1.6595428095425024
238,652.0,Enso,González Medina,3,4.3,1.2,3,1.0,1.6595428095425024
61,555.0,Alan,Browne,3,4.5,0.0,4,1.0,1.6572412747575678
19,540.0,Timothée,Pembélé,2,3.9,0.3,4,1.0,1.6572412747575678
59,535.0,Dennis,Cirkin,2,4.0,0.0,4,1.0,1.6572412747575678
270,538.0,Zak,Johnson,2,3.8,0.2,4,1.0,1.6572412747575678
420,678.0,Arthur,Masuaku,2,3.9,0.5,4,1.0,1.6572412747575678
58,530.0,Blondy,Nna Noukeu,1,3.9,0.1,4,1.0,1.6572412747575678
237,549.0,Dan,Neil,3,4.8,0.0,4,1.0,1.6572412747575678
99,557.0,Harrison,Jones,3,4.3,0.1,4,1.0,1.6572412747575678
524,563.0,Luís Hemir,Silva Semedo,4,4.4,0.1,4,1.0,1.6572412747575678
523,559.0,Nectarios,Triantis,3,4.4,0.0,4,1.0,1.6572412747575678
234,545.0,Patrick,Roberts,3,5.4,0.0,4,1.0,1.6572412747575678
235,546.0,Milan,Aleksić,3,4.9,0.0,4,1.0,1.6572412747575678
233,534.0,Joe,Anderson,2,3.8,0.3,4,1.0,1.6572412747575678
20,558.0,Jay,Matete,3,4.3,0.2,4,1.0,1.6572412747575678
77,775.0,Tymur,Tutierov,3,4.5,0.0,4,1.0,1.6572412747575678
322,774.0,Jenson,Jones,2,4.0,0.0,4,1.0,1.6572412747575678
57,529.0,Simon,Moore,1,3.9,0.3,4,1.0,1.6572412747575678
127,536.0,Leo Fuhr,Hjelde,2,4.0,0.0,4,1.0,1.6572412747575678
325,800.0,Djiamgone Jocelin Ta,Bi,3,4.9,0.0,4,1.0,1.6572412747575678
164,533.0,Aji,Alese,2,4.0,0.0,4,1.0,1.6572412747575678
